class	precision	recall	f1	accuracy
air_conditioner	0.362174	0.487819	0.415711	0.955091
car_horn	0.188940	0.012203	0.022925	0.332291
children_playing	0.311024	0.290888	0.300619	0.875028
dog_bark	0.356757	0.216251	0.269277	0.892219
drilling	0.504262	0.278525	0.358844	0.932735
engine_idling	0.240240	0.227459	0.233675	0.939330
gun_shot	0.505364	0.012347	0.024105	0.266442
jackhammer	0.580020	0.165265	0.257236	0.962301
siren	0.107647	0.093839	0.100270	0.883099
street_music	0.325439	0.180640	0.232325	0.906089
