file	 duration	 num_events	 polyphony_max	 polyphony_gini	 reverb	 avg_snr	 avg_time_stretch	 avg_pitch_shift	noise_rating	running_time
soundscape_a0.wav	30.0	45	8	0.685517	0.0	27.289589	0.980267	-0.24547	347.11216666666655	29209.449
soundscape_a1.wav	30.0	45	10	0.681295	0.0	22.719303	0.994938	-0.023712	341.5558666666667	22152.107
soundscape_a10.wav	60.0	51	7	0.585713	0.0	25.919058	1.003721	-0.174088	760.1552666666662	47747.063
soundscape_a11.wav	60.0	38	5	0.592257	0.0	21.967552	1.011826	-0.049943	721.7256250000004	44032.039
soundscape_a12.wav	60.0	32	5	0.564465	0.0	30.147372	1.026515	-0.194062	894.2511000000001	42022.819
soundscape_a13.wav	60.0	32	5	0.536622	0.0	26.926551	1.000073	0.388241	541.0201166666662	44367.491
soundscape_a14.wav	60.0	9	2	0.506202	0.0	18.400262	1.026602	-0.220859	337.39237500000024	34512.896
soundscape_a15.wav	60.0	20	4	0.455352	0.0	20.700194	1.005159	-0.119143	515.1902083333332	36798.911
soundscape_a16.wav	60.0	28	4	0.516122	0.0	22.141529	1.037702	0.181872	500.71137500000003	42824.825
soundscape_a17.wav	60.0	15	2	0.471294	0.0	28.596648	1.012204	-0.470859	430.50691666666665	36635.468
soundscape_a18.wav	60.0	14	2	0.445693	0.0	24.722969	1.011299	-0.028552	307.64954166666644	38859.03
soundscape_a19.wav	60.0	37	6	0.530547	0.0	23.881491	1.014704	0.030835	513.1167333333331	41839.864
soundscape_a2.wav	30.0	35	7	0.741697	0.0	25.044983	0.995685	0.210269	318.7445000000002	25030.003
soundscape_a20.wav	90.0	16	3	0.26047	0.0	23.655687	0.973299	0.477512	361.8790833333332	40005.276
soundscape_a21.wav	90.0	37	5	0.432893	0.0	22.245069	0.980046	-0.081098	639.1936499999997	61082.186
soundscape_a22.wav	90.0	23	4	0.325225	0.0	29.381968	0.985243	-0.027139	475.05858333333356	45252.057
soundscape_a23.wav	90.0	11	2	0.211208	0.0	24.490112	0.916907	0.05705	165.95245833333314	31656.737
soundscape_a24.wav	90.0	49	6	0.476098	0.0	23.579463	0.993176	-0.286137	908.5066666666662	61659.854
soundscape_a25.wav	90.0	30	4	0.480885	0.0	26.117232	1.003199	0.411006	592.326991666666	62705.636
soundscape_a26.wav	90.0	30	4	0.419175	0.0	25.105148	1.015798	-0.058675	664.2673749999996	60197.208
soundscape_a27.wav	90.0	55	7	0.623706	0.0	25.833937	0.979311	-0.251883	1143.5858583333322	70988.519
soundscape_a28.wav	90.0	50	4	0.609509	0.0	23.099682	0.997969	-0.108093	812.3503333333344	72651.882
soundscape_a29.wav	90.0	33	3	0.481365	0.0	23.58685	0.997879	0.387263	380.46980833333356	56460.727
soundscape_a3.wav	30.0	29	8	0.564048	0.0	24.730645	1.010749	-0.159744	425.19848333333323	22992.454
soundscape_a30.wav	120.0	49	5	0.516323	0.0	27.289834	1.014279	-0.327012	1120.471208333333	88898.238
soundscape_a31.wav	120.0	13	2	0.261286	0.0	19.668121	1.00678	0.182595	355.21391666666693	48715.24
soundscape_a32.wav	120.0	25	3	0.313834	0.0	29.60193	1.002908	-0.278137	481.7107499999999	64805.863
soundscape_a33.wav	120.0	43	4	0.466822	0.0	24.013254	1.016981	-0.164226	863.0505000000003	76517.812
soundscape_a34.wav	120.0	10	2	0.149041	0.0	21.399103	1.031615	-0.055069	230.85873333333367	36930.068
soundscape_a35.wav	120.0	43	3	0.411123	0.0	25.452176	0.988328	-0.028383	726.4702500000004	74917.885
soundscape_a36.wav	120.0	55	4	0.51997	0.0	24.218434	1.005877	-0.064277	1069.8402333333318	84804.218
soundscape_a37.wav	120.0	14	2	0.23714	0.0	27.854308	1.018345	0.031379	446.0479333333335	45440.526
soundscape_a38.wav	120.0	39	5	0.429	0.0	24.951814	1.017057	-0.256422	782.2188333333336	75340.966
soundscape_a39.wav	120.0	57	6	0.480719	0.0	28.476822	0.991827	-0.074104	1109.7045000000019	78046.474
soundscape_a4.wav	30.0	49	10	0.720404	0.0	26.867668	1.006153	0.010489	394.34066666666683	24001.842
soundscape_a40.wav	150.0	31	4	0.261218	0.0	29.525966	1.016381	0.240352	602.4485499999992	80280.926
soundscape_a41.wav	150.0	36	4	0.315134	0.0	23.221827	0.985193	0.004425	728.5250250000016	81017.447
soundscape_a42.wav	150.0	11	2	0.154471	0.0	26.095814	1.012282	0.099411	307.78183333333357	48374.118
